pmid|annotator|subject_text_span|subject_label|predicate|object_text_span|object_label
38283894|expert_5|zinc|chemical|located in|Children|human
38283894|expert_5|zinc|chemical|located in|controls|human
38283894|expert_5|Clostridium|bacteria|located in|controls|human
38283894|expert_5|trace elements|chemical|located in|control subjects|human
38283894|expert_5|trace elements|chemical|located in|adolescents|human
38283894|expert_5|trace elements|chemical|located in|healthy controls|human
38283894|expert_5|Clostridium|bacteria|located in|children|human
38283894|expert_5|ASD|DDF|target|adolescents|human
38283894|expert_5|autism spectrum disorders|DDF|target|children|human
38283894|expert_5|zinc|chemical|located in|children|human
38283894|expert_5|GABA|chemical|located in|children|human
38283894|expert_5|GABA|chemical|located in|Children|human
38283894|expert_5|Parabacteroides|bacteria|located in|Children|human
38283894|expert_5|GABA|chemical|located in|controls|human
38283894|expert_5|oxytocin|chemical|located in|Children|human
38283894|expert_5|c-reactive protein|chemical|located in|children|human
36072680|expert_6|gut microbiota|microbiome|is linked to|gastroenteritis|DDF
36072680|expert_6|gut microbiota|microbiome|is linked to|stress|DDF
36072680|expert_6|Irritable bowel syndrome|DDF|is a|chronic debilitating issues|DDF
36072680|expert_6|IBS|DDF|target|patients|human
36072680|expert_6|IBS|DDF|is a|chronic debilitating issues|DDF
37127945|expert_4|BD|DDF|target|patients|human
37127945|expert_4|BD|DDF|change abundance|Ruminococcus|bacteria
37127945|expert_4|BD|DDF|change abundance|Lactobacillus|bacteria
37127945|expert_4|Probiotic supplementation|dietary supplement|influence|cognitive impairments|DDF
37127945|expert_4|BD|DDF|change abundance|Faecalibacterium|bacteria
37127945|expert_4|depressive symptoms|DDF|target|patients|human
37127945|expert_4|Probiotic supplementation|dietary supplement|influence|depressive symptoms|DDF
37127945|expert_4|cognitive impairments|DDF|target|patients|human
36411639|expert_4|Gut microbes|bacteria|influence|irritable bowel syndrome|DDF
36411639|expert_4|Gut microbial-derived metabolites|chemical|influence|neurological diseases|DDF
36411639|expert_4|Gut microbes|bacteria|influence|ulcer stomach and intestine|DDF
36411639|expert_4|Gut microbes|bacteria|influence|gastrointestinal diseases|DDF
36411639|expert_4|Gut microbial-derived metabolites|chemical|influence|Alzheimer's disease|DDF
36411639|expert_4|Gut microbial-derived metabolites|chemical|influence|Parkinson's disease|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|multiple sclerosis|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|neurological disorders|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|atherosclerosis|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|Alzheimer's disease|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|inflammatory bowel diseases|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|rheumatoid arthritis|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|ischemic and non-ischemic heart disease|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|inflammatory issues|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|neurologic disorders|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|amyotrophic lateral sclerosis|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|obesity|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|Parkinson's disease|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|liver diseases|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|cardiovascular diseases|DDF
32545788|expert_6|dead cells|chemical|influence|Inflammation|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|metabolic pathologies|DDF
32545788|expert_6|pathogens|chemical|influence|Inflammation|DDF
32545788|expert_6|NLRP3 inflammasome|chemical|influence|type 2 diabetes|DDF
32545788|expert_6|irritants|chemical|influence|Inflammation|DDF
30072879|expert_2|group III mGlu|chemical|interact|1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine|chemical
30072879|expert_2|gastrointestinal dysfunction|DDF|affect|Parkinson's disease|DDF
30072879|expert_2|mGlu8|chemical|interact|1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine|chemical
30072879|expert_2|mGlu8|chemical|interact|MPTP|chemical
30072879|expert_2|MPTP|chemical|impact|gut microbiome|microbiome
30072879|expert_2|gut microbiome|microbiome|located in|WT and KO mice|animal
30072879|expert_2|gut microbiome|microbiome|is linked to|PD pathogenesis|DDF
30072879|expert_2|mGlu8|chemical|influence|PD|DDF
30072879|expert_2|Motor dysfunction|DDF|affect|Parkinson's disease|DDF
30072879|expert_2|metabotropic glutamate receptor 8|chemical|interact|1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine|chemical
30072879|expert_2|group III mGlu|chemical|interact|MPTP|chemical
30072879|expert_2|1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine|chemical|impact|gut microbiome|microbiome
30072879|expert_2|Parkinson's disease|DDF|target|female and male mice|animal
30072879|expert_2|Motor dysfunction|DDF|affect|PD|DDF
30072879|expert_2|metabotropic glutamate receptor 8|chemical|interact|MPTP|chemical
30072879|expert_2|gastrointestinal dysfunction|DDF|affect|PD|DDF
32572814|expert_4|AR 420626|drug|interact|FA3R|chemical
32572814|expert_4|BHB|drug|interact|butyrate|chemical
32572814|expert_4|BHB|drug|interact|SALS|chemical
32572814|expert_4|Butyrate|chemical|influence|Salsolinol-Induced Toxicity|DDF
32572814|expert_4|Butyrate|chemical|located in|gut|anatomical location
32572814|expert_4|BHB|drug|interact|FA3R|chemical
32572814|expert_4|AR 420626|drug|interact|SALS|chemical
32572814|expert_4|beta-hydroxy butyrate|drug|interact|butyrate|chemical
32572814|expert_4|beta-hydroxy butyrate|drug|interact|FA3R|chemical
30828318|expert_5|gut microbiota|microbiome|located in|agile, fit hunter gatherers|human
30828318|expert_5|probiotic applications|dietary supplement|influence|depression|DDF
30828318|expert_5|gut|anatomical location|located in|obese westerners|human
30828318|expert_5|gut|anatomical location|located in|agile, fit hunter gatherers|human
30828318|expert_5|gut microbiota|microbiome|located in|Danes|human
30828318|expert_5|gut microbiota|microbiome|located in|obese westerners|human
30828318|expert_5|gut microbiota|microbiome|located in|gut|anatomical location
30828318|expert_5|gut microbiota|microbiome|located in|brain|anatomical location
30828318|expert_5|gut|anatomical location|located in|Danes|human
30828318|expert_5|probiotic applications|dietary supplement|influence|anxiety|DDF
31148353|expert_5|L-3,4-dihydroxyphenylalanine (L-DOPA)|drug|change effect|PD|DDF
31148353|expert_5|hUCB-derived plasma|chemical|located in|SNpc|anatomical location
31148353|expert_5|L-3,4-dihydroxyphenylalanine (L-DOPA)|drug|change effect|Parkinson's disease|DDF
31148353|expert_5|inflammation-associated gut microbiota|microbiome|located in|gut|anatomical location
31148353|expert_5|anti-inflammatory cytokines|chemical|influence|parkinsonian symptoms|DDF
31148353|expert_5|pro-inflammatory cytokines|chemical|located in|SNpc|anatomical location
31148353|expert_5|hUCB-derived plasma|chemical|located in|substantia nigra pars compacta|anatomical location
31148353|expert_5|gut microbiome|microbiome|is linked to|PD|DDF
31148353|expert_5|parkinsonian symptoms|DDF|affect|PD|DDF
31148353|expert_5|gut microbiome|microbiome|is linked to|Parkinson's disease|DDF
31148353|expert_5|parkinsonian symptoms|DDF|affect|Parkinson's disease|DDF
31148353|expert_5|gut microbiome|microbiome|located in|gut|anatomical location
31148353|expert_5|L-3,4-dihydroxyphenylalanine (L-DOPA)|drug|change effect|dyskinetic side effects|DDF
31821833|expert_5|gut microbiota|microbiome|is linked to|schizophrenia|DDF
31821833|expert_5|human microbiome|microbiome|is linked to|CNS diseases|DDF
31821833|expert_5|gastrointestinal microbiota|microbiome|located in|gut|anatomical location
31821833|expert_5|gut microbiota|microbiome|is linked to|CNS diseases|DDF
31821833|expert_5|intestinal microbiota|microbiome|located in|gut|anatomical location
31821833|expert_5|intestinal microbiota|microbiome|is linked to|CNS diseases|DDF
31821833|expert_5|gastrointestinal microbiota|microbiome|is linked to|schizophrenia|DDF
31821833|expert_5|gastrointestinal microbiota|microbiome|is linked to|CNS diseases|DDF
31821833|expert_5|human microbiome|microbiome|is linked to|schizophrenia|DDF
31821833|expert_5|intestinal microbiota|microbiome|is linked to|schizophrenia|DDF
31821833|expert_5|gut microbiota|microbiome|located in|gut|anatomical location
33063712|expert_4|cancer|DDF|change abundance|gut microbiota|microbiome
33063712|expert_4|neurodegenerative disorders|DDF|change abundance|gut microbiota|microbiome
33063712|expert_4|human disorders|DDF|change abundance|gut microbiota|microbiome
36462169|expert_4|SMI|DDF|interact|sMAdCAM-1|chemical
36462169|expert_4|SMI|DDF|interact|LBP|chemical
36462169|expert_4|SCZ|DDF|interact|CCL25|chemical
36462169|expert_4|AFF|DDF|interact|I-FABP|chemical
36462169|expert_4|SMI|DDF|interact|CCL25|chemical
36462169|expert_4|SMI|DDF|interact|I-FABP|chemical
36462169|expert_4|I-FABP|chemical|interact|IL-18BPa|chemical
36462169|expert_4|AFF|DDF|interact|LBP|chemical
27698624|expert_2|gut microbiota|microbiome|is linked to|depression|DDF
27698624|expert_2|gut microbiota|microbiome|is linked to|anxiety|DDF
27698624|expert_2|gut microbiota|microbiome|is linked to|stress related disorders|DDF
27698624|expert_2|Gut Microbiome|microbiome|is linked to|Anxiety|DDF
33938181|expert_5|multidrug resistant bacteria|bacteria|interact|human glucose-dependent insulinotropic polypeptide|chemical
33938181|expert_5|Increasing antibiotic resistance|DDF|change abundance|Gram-negative bacteria|bacteria
33938181|expert_5|gastrointestinal peptides|chemical|impact|gut microbiota|microbiome
33938181|expert_5|E. amylovora 1189|bacteria|interact|multidrug resistant bacteria|bacteria
33938181|expert_5|multidrug resistant bacteria|bacteria|interact|GIP|chemical
33938181|expert_5|TolC|chemical|part of|inner and outer membrane efflux pump factor proteins|chemical
33938181|expert_5|E. coli TG1|bacteria|interact|multidrug resistant bacteria|bacteria
33938181|expert_5|Human glucose-dependent insulinotropic polypeptide|chemical|impact|antimicrobial adjuvant re-sensitising multidrug-resistant Gram-negative bacteria|bacteria
33938181|expert_5|GIP|chemical|impact|antimicrobial adjuvant re-sensitising multidrug-resistant Gram-negative bacteria|bacteria
33938181|expert_5|AcrB|chemical|part of|inner and outer membrane efflux pump factor proteins|chemical
31917834|expert_2|stress|DDF|affect|dysbiosis|DDF
31917834|expert_2|Adolescence Inflammatory Stress|DDF|affect|Neurodegeneration|DDF
31917834|expert_2|gut microbiota|microbiome|is linked to|stress|DDF
31917834|expert_2|depression|DDF|is a|neurological disorders|DDF
31917834|expert_2|gut microbiota|microbiome|is linked to|neurodegenerative disorders|DDF
31917834|expert_2|Alzheimer's disease|DDF|is a|neurological disorders|DDF
31917834|expert_2|probiotics|dietary supplement|influence|dysbiosis|DDF
31917834|expert_2|probiotics|dietary supplement|influence|brain disorders|DDF
31917834|expert_2|pubertal neuroinflammatory insults|DDF|affect|brain disorders|DDF
31917834|expert_2|neuroinflammation|DDF|affect|dysbiosis|DDF
31917834|expert_2|dysbiosis|DDF|affect|brain disorders|DDF
31917834|expert_2|probiotics|dietary supplement|influence|inflammation|DDF
31917834|expert_2|infection|DDF|affect|dysbiosis|DDF
31917834|expert_2|Microbiota Alterations|DDF|affect|Neurodegeneration|DDF
31917834|expert_2|Parkinson's disease|DDF|is a|neurological disorders|DDF
38123016|expert_2|ASD|DDF|is a|neurodevelopmental disorders|DDF
38123016|expert_2|metabolite supplementation|dietary supplement|influence|ASD|DDF
38123016|expert_2|gut microbiota|microbiome|located in|ASD patients|human
38123016|expert_2|probiotics|dietary supplement|influence|ASD|DDF
38123016|expert_2|microbiota modulators|dietary supplement|influence|ASD|DDF
38123016|expert_2|autism spectrum disorder|DDF|is a|neurodevelopmental disorders|DDF
38123016|expert_2|infections|DDF|change abundance|gut microbiome|microbiome
25231862|expert_1|glucose intolerance|DDF|target|healthy human subjects|human
25231862|expert_1|NAS|dietary supplement|influence|glucose intolerance|DDF
25231862|expert_1|NAS-induced dysbiosis|DDF|target|healthy human subjects|human
25231862|expert_1|NAS|dietary supplement|influence|dysbiosis|DDF
25231862|expert_1|NAS|dietary supplement|influence|metabolic abnormalities|DDF
25231862|expert_1|Artificial sweeteners|dietary supplement|influence|glucose intolerance|DDF
25231862|expert_1|Non-caloric artificial sweeteners|dietary supplement|influence|glucose intolerance|DDF
25231862|expert_1|Artificial sweeteners|dietary supplement|impact|gut microbiota|microbiome
33677218|expert_6|depression-like behaviors|DDF|target|Rats|animal
33677218|expert_6|depression-like behaviors|DDF|affect|chronic unpredictable mild stress|DDF
33677218|expert_6|gut microbiota|microbiome|is linked to|depression-like behaviors|DDF
33677218|expert_6|gut microbiota|microbiome|is linked to|neuroinflammation|DDF
33677218|expert_6|neuroinflammation|DDF|target|Rats|animal
36938477|expert_4|Probiotics|dietary supplement|influence|functional constipation|DDF
36938477|expert_4|probiotic intake|dietary supplement|influence|constipation|DDF
36938477|expert_4|constipation|DDF|target|PD patients|human
36938477|expert_4|constipation|DDF|target|patients|human
36938477|expert_4|Parkinson's disease|DDF|target|patients|human
36938477|expert_4|Constipation|DDF|target|PD patients|human
36938477|expert_4|PD|DDF|target|patients|human
31940482|expert_4|Bacillus subtilis probiotic strain PXN21|bacteria|influence|synucleinopathy|DDF
31940482|expert_4|gut|anatomical location|located in|worms|animal
31940482|expert_4|gut microbiome|microbiome|is linked to|Parkinson's disease|DDF
31940482|expert_4|Multiple B. subtilis strains|bacteria|interact|bacterial metabolites|chemical
31940482|expert_4|synucleinopathy|DDF|target|young and aging animals|animal
33416892|expert_4|gut microbiome|microbiome|is linked to|inflammation|DDF
33416892|expert_4|gut microbiome|microbiome|is linked to|amyotrophic lateral sclerosis|DDF
33416892|expert_4|gut microbiome|microbiome|is linked to|CNS neurodegenerative diseases|DDF
33416892|expert_4|gut microbiome|microbiome|is linked to|multiple sclerosis|DDF
33416892|expert_4|gut microbiome|microbiome|is linked to|Parkinson's disease|DDF
33416892|expert_4|gut microbiome|microbiome|is linked to|Alzheimer's disease|DDF
32600151|expert_4|gut microbiome|microbiome|is linked to|multiple sclerosis|DDF
32600151|expert_4|AD|DDF|change abundance|gut microbiome|microbiome
32600151|expert_4|gut microbiome|microbiome|is linked to|neurological diseases|DDF
32600151|expert_4|gut microbiome|microbiome|is linked to|Parkinson's disease|DDF
32600151|expert_4|AD|DDF|target|patient|human
32600151|expert_4|AD|DDF|target|patients|human
31302116|expert_1|generalized anxiety|DDF|target|Women|human
31302116|expert_1|gut microbiota|microbiome|is linked to|mood and anxiety disorders|DDF
31302116|expert_1|major depression|DDF|target|men|human
31302116|expert_1|stress-related disorders|DDF|target|Women|human
31302116|expert_1|gut microbiota|microbiome|located in|gastrointestinal tract|anatomical location
31302116|expert_1|gut microbiota|microbiome|is linked to|mental illnesses|DDF
31302116|expert_1|major depression|DDF|target|Women|human
31302116|expert_1|stress-related disorders|DDF|target|men|human
31302116|expert_1|generalized anxiety|DDF|target|men|human
34970638|expert_5|Synapsin-1|chemical|located in|DEX and CUMS groups|animal
34970638|expert_5|glial fibrillary acidic protein|chemical|located in|DEX and CUMS groups|animal
34970638|expert_5|gut microbiota|microbiome|located in|individuals|human
34970638|expert_5|excessive immunosuppression with damaged neuronal synapses|DDF|affect|DEX-induced depression|DDF
34970638|expert_5|hippocampus|anatomical location|located in|DEX and CUMS groups|animal
34970638|expert_5|control (CON) group|animal|used by|ELISA|biomedical technique
34970638|expert_5|Clostridium XVIII|bacteria|located in|DEX-treated mice|animal
34970638|expert_5|DEX|drug|administered|DEX group|animal
34970638|expert_5|IL-1β|chemical|located in|DEX-treated mice|animal
34970638|expert_5|neuroinflammation|DDF|strike|brain|anatomical location
34970638|expert_5|depression|DDF|target|individuals|human
34970638|expert_5|occludin|chemical|located in|DEX-treated mice|animal
34970638|expert_5|dexamethasone (DEX) group|animal|used by|Enzyme-linked immunosorbent assay|biomedical technique
34970638|expert_5|CORT|chemical|located in|DEX-treated mice|animal
34970638|expert_5|Adolescent female mice|animal|used by|western blot|biomedical technique
34970638|expert_5|mild stress (CUMS) group|animal|used by|Enzyme-linked immunosorbent assay|biomedical technique
34970638|expert_5|P2Y12 receptor|chemical|located in|hippocampus|anatomical location
34970638|expert_5|CUMS|DDF|affect|depression-like phenotypes|DDF
34970638|expert_5|dexamethasone (DEX) group|animal|used by|sequencing 16S rDNAs|biomedical technique
34970638|expert_5|dexamethasone|drug|change effect|depression-like phenotypes|DDF
34970638|expert_5|gut microbiota|microbiome|is linked to|depression|DDF
34970638|expert_5|dexamethasone (DEX) group|animal|used by|ELISA|biomedical technique
34970638|expert_5|gut microbiota|microbiome|located in|mice|animal
34970638|expert_5|control (CON) group|animal|used by|western blot|biomedical technique
34970638|expert_5|neuroinflammation|DDF|affect|CUMS-induced depression|DDF
34970638|expert_5|Nestin|chemical|located in|DEX and CUMS groups|animal
34970638|expert_5|mild stress (CUMS) group|animal|used by|ELISA|biomedical technique
34970638|expert_5|mild stress (CUMS) group|animal|used by|sequencing 16S rDNAs|biomedical technique
34970638|expert_5|gut microbiota|microbiome|is linked to|depression-like phenotypes|DDF
34970638|expert_5|P2Y12 receptor|chemical|located in|DEX and CUMS groups|animal
34970638|expert_5|Prevotellaceae|bacteria|located in|CUMS group|animal
34970638|expert_5|Bacilli|bacteria|located in|CUMS group|animal
34970638|expert_5|GFAP|chemical|located in|DEX and CUMS groups|animal
34970638|expert_5|IL-1β|chemical|located in|DEX and CUMS groups|animal
34970638|expert_5|mild stress (CUMS) group|animal|used by|western blot|biomedical technique
34970638|expert_5|Adolescent female mice|animal|used by|Enzyme-linked immunosorbent assay|biomedical technique
34970638|expert_5|solvent|chemical|located in|CON mice|animal
34970638|expert_5|Adolescent female mice|animal|used by|sequencing 16S rDNAs|biomedical technique
34970638|expert_5|dexamethasone (DEX) group|animal|used by|western blot|biomedical technique
34970638|expert_5|depression-like phenotypes|DDF|target|mice|animal
34970638|expert_5|control (CON) group|animal|used by|Enzyme-linked immunosorbent assay|biomedical technique
34970638|expert_5|Adolescent female mice|animal|used by|ELISA|biomedical technique
34970638|expert_5|Desulfovibrio|bacteria|located in|CUMS group|animal
34970638|expert_5|pathobionts|microbiome|is linked to|DEX-induced depression|DDF
34970638|expert_5|control (CON) group|animal|used by|sequencing 16S rDNAs|biomedical technique
34970638|expert_5|severe depression-like behaviours|DDF|target|CUMS and DEX groups|animal
34970638|expert_5|dexamethasone|drug|impact|gut microbiota|microbiome
36931666|expert_2|type 2 diabetes mellitus|DDF|target|patients|human
36931666|expert_2|type 2 diabetes mellitus|DDF|affect|chronic hyperglycaemia-related damage|DDF
36931666|expert_2|T2DM|DDF|affect|chronic hyperglycaemia-related damage|DDF
36931666|expert_2|patients|human|used by|randomised, triple-blind, placebo-controlled trial|biomedical technique
36931666|expert_2|T2DM|DDF|target|patients|human
38686220|expert_4|mild to moderate Parkinson's disease|DDF|target|patients|human
38686220|expert_4|gut microbiome|microbiome|is linked to|PD|DDF
38686220|expert_4|early-stage PD|DDF|target|patients|human
38686220|expert_4|gut microbiome|microbiome|is linked to|Parkinson's disease|DDF
38686220|expert_4|PD|DDF|target|patients|human
35798742|expert_7|Oral Lactobacillus|bacteria|located in|PD patients|human
35798742|expert_7|Oral and gut dysbiosis|DDF|affect|PD|DDF
35798742|expert_7|oral and gut microbiome|microbiome|is linked to|PD|DDF
35798742|expert_7|oral and gut microbiota|microbiome|is linked to|PD|DDF
35798742|expert_7|oral and gut microbiome|microbiome|located in|PD patients|human
35798742|expert_7|Oral and gut dysbiosis|DDF|affect|Parkinson's disease|DDF
35798742|expert_7|oral microbiome|microbiome|is linked to|Parkinson's disease|DDF
35798742|expert_7|Parkinson's disease|DDF|target|PD patients|human
35798742|expert_7|PD|DDF|target|PD patients|human
35798742|expert_7|oral and gut microbiota|microbiome|is linked to|Parkinson's disease|DDF
35798742|expert_7|PD-specific gut microbiome|microbiome|is linked to|PD|DDF
35798742|expert_7|glutamate|chemical|located in|PD patients|human
35798742|expert_7|oral and gut microbiome|microbiome|used by|shotgun metagenomic sequencing|biomedical technique
35798742|expert_7|oral and gut microbiome|microbiome|compared to|PD-specific gut microbiome|microbiome
35798742|expert_7|PD-specific gut microbiome|microbiome|used by|shotgun metagenomic sequencing|biomedical technique
35798742|expert_7|oral and gut microbiome|microbiome|located in|healthy controls|human
35798742|expert_7|oral microbiome|microbiome|is linked to|PD|DDF
35798742|expert_7|gut|anatomical location|located in|PD patients|human
35798742|expert_7|arginine|chemical|located in|PD patients|human
37655441|expert_4|Prevotella copri|bacteria|influence|rheumatoid arthritis|DDF
37655441|expert_4|Prevotella copri|bacteria|part of|human gastrointestinal microbiome|microbiome
37655441|expert_4|Prevotella copri|bacteria|influence|Parkinson's disease|DDF
36651663|expert_2|depression|DDF|change abundance|Fusicatenibacter saccharivorans|bacteria
36651663|expert_2|Spanish cohort|human|used by|16S ribosomal RNA gene V3-4 amplicon sequencing|biomedical technique
36651663|expert_2|anxiety|DDF|change abundance|Fusicatenibacter saccharivorans|bacteria
36651663|expert_2|depression|DDF|change abundance|Proteobacteria|bacteria
36651663|expert_2|depression|DDF|target|Spanish cohort|human
36651663|expert_2|PTSD|DDF|target|Spanish cohort|human
36651663|expert_2|individuals|human|used by|16S ribosomal RNA gene V3-4 amplicon sequencing|biomedical technique
36651663|expert_2|posttraumatic stress disorder|DDF|change abundance|Turicibacter sanguinis|bacteria
36651663|expert_2|posttraumatic stress disorder|DDF|change abundance|Anaerostipes|bacteria
36651663|expert_2|PTSD|DDF|change abundance|Fusicatenibacter saccharivorans|bacteria
36651663|expert_2|posttraumatic stress disorder|DDF|change abundance|Fusicatenibacter saccharivorans|bacteria
36651663|expert_2|posttraumatic stress disorder|DDF|change abundance|Lentisphaerae|bacteria
36651663|expert_2|anxiety|DDF|target|Spanish cohort|human
36651663|expert_2|posttraumatic stress disorder|DDF|target|Spanish cohort|human
36651663|expert_2|trait anxiety|DDF|target|Individuals|human
36651663|expert_2|depression|DDF|change abundance|Synergistetes phyla|bacteria
36816743|expert_4|gut microbiota|microbiome|is linked to|neurological diseases|DDF
31330299|expert_5|gut microbiota|microbiome|is linked to|Alzheimer's disease|DDF
31330299|expert_5|traumatic brain injury|DDF|strike|brain|anatomical location
31330299|expert_5|gastrointestinal microbiota|microbiome|is linked to|peripheral inflammation|DDF
31330299|expert_5|gut microbiota|microbiome|is linked to|mental illnesses|DDF
31330299|expert_5|gastrointestinal microbiome|microbiome|located in|brain|anatomical location
31330299|expert_5|gastrointestinal microbiota|microbiome|is linked to|stress|DDF
31330299|expert_5|gastrointestinal microbiota|microbiome|is linked to|mental illnesses|DDF
31330299|expert_5|gut microbiota|microbiome|is linked to|stress|DDF
31330299|expert_5|gut microbiota|microbiome|is linked to|disorders of the central nervous system|DDF
31330299|expert_5|gut microbiota|microbiome|is linked to|Parkinson's disease|DDF
31330299|expert_5|gastrointestinal microbiota|microbiome|is linked to|Parkinson's disease|DDF
31330299|expert_5|gut microbiota|microbiome|located in|brain|anatomical location
31330299|expert_5|gut microbiota|microbiome|is linked to|stroke|DDF
31330299|expert_5|gut microbiota|microbiome|is linked to|multiple sclerosis|DDF
31330299|expert_5|gastrointestinal microbiota|microbiome|is linked to|traumatic brain injury|DDF
31330299|expert_5|gastrointestinal microbiota|microbiome|is linked to|stroke|DDF
31330299|expert_5|gastrointestinal microbiota|microbiome|is linked to|multiple sclerosis|DDF
31330299|expert_5|gut microbiota|microbiome|is linked to|traumatic brain injury|DDF
31330299|expert_5|gut microbiota|microbiome|is linked to|peripheral inflammation|DDF
31330299|expert_5|gastrointestinal microbiota|microbiome|is linked to|Alzheimer's disease|DDF
32188376|expert_6|major depression|DDF|affect|morbidity|DDF
32188376|expert_6|Bipolar disorder|DDF|affect|disability|DDF
32188376|expert_6|major depression|DDF|affect|reduced life expectancy|DDF
32188376|expert_6|Bipolar disorder|DDF|affect|reduced life expectancy|DDF
32188376|expert_6|mood disorders|DDF|target|People|human
32188376|expert_6|Neurocognitive dysfunction|DDF|affect|mood disorders|DDF
32188376|expert_6|Neurocognitive dysfunction|DDF|affect|social dysfunction|DDF
32188376|expert_6|major depression|DDF|affect|disability|DDF
32188376|expert_6|Bipolar disorder|DDF|affect|morbidity|DDF
27319972|expert_7|gut|anatomical location|located in|adult human|human
27319972|expert_7|Early life stress|DDF|strike|intestine|anatomical location
27319972|expert_7|early life stress|DDF|affect|adult psychopathology|DDF
36699448|expert_2|gut microbiome|microbiome|is linked to|depression|DDF
36699448|expert_2|depression|DDF|target|Asian, Chinese people|human
36699448|expert_2|major depressive disorder|DDF|target|Asian, Chinese group|human
36699448|expert_2|major depressive disorder|DDF|change abundance|Pseudomonades|bacteria
36699448|expert_2|gut microbiome|microbiome|located in|Asian, Chinese people|human
36699448|expert_2|MDD|DDF|target|Asian, Chinese group|human
36699448|expert_2|gut microbiome|microbiome|is linked to|major depressive disorder|DDF
36699448|expert_2|gut microbiome|microbiome|is linked to|MDD|DDF
36699448|expert_2|major depressive disorder|DDF|change abundance|Actinobacteria|bacteria
37193253|expert_2|anxiety disorder|DDF|affect|gut dysbiosis|DDF
37193253|expert_2|Main gut microbiota alterations|DDF|change abundance|gut microbiota|microbiome
37193253|expert_2|pSS|DDF|is a|psychological disorders|DDF
37193253|expert_2|Gut Dysbiosis|DDF|target|Primary Sjögren's Syndrome-Mediated Dry Eye Patients|human
37193253|expert_2|gut dysbiosis|DDF|affect|anxiety disorder|DDF
37193253|expert_2|Odoribacter|bacteria|influence|pSS|DDF
37193253|expert_2|gut microbiota|microbiome|is linked to|pSS|DDF
37193253|expert_2|Dry eye discomfort|DDF|affect|anxiety disorders|DDF
37193253|expert_2|pSS-mediated dry eye|DDF|target|patients|human
