pmid|annotator|subject_text_span|subject_label|predicate|object_text_span|object_label
37845499|expert_3|Alzheimer's disease|DDF|target|patients|human
37845499|expert_3|microbiota|microbiome|located in|gut|anatomical location
37845499|expert_3|microbiota|microbiome|located in|bladder|anatomical location
37845499|expert_3|microbiota|microbiome|located in|lungs|anatomical location
37845499|expert_3|bacteria|bacteria|part of|microbiota|microbiome
37845499|expert_3|microbiota|microbiome|located in|vagina|anatomical location
37371676|expert_1|IL-17|chemical|influence|arthropathy|DDF
37371676|expert_1|gut microbiota|microbiome|is linked to|inflammation|DDF
37371676|expert_1|IL-17|chemical|influence|gut dysbiosis|DDF
37371676|expert_1|Gut dysbiosis|DDF|affect|AI|DDF
37371676|expert_1|TNF-a|chemical|influence|arthropathy|DDF
37371676|expert_1|gut microbiome|microbiome|is linked to|AI|DDF
37371676|expert_1|TNF-a|chemical|influence|gut dysbiosis|DDF
37371676|expert_1|gut microbiota|microbiome|is linked to|AI|DDF
37371676|expert_1|fat and sugar content|chemical|influence|systemic inflammation|DDF
37371676|expert_1|IL-6|chemical|influence|AI|DDF
37371676|expert_1|gut microbiota|microbiome|is linked to|psoriatic arthritis|DDF
37371676|expert_1|individual's specific gut microbiota|microbiome|is linked to|reduced systemic inflammation|DDF
37371676|expert_1|IL-6|chemical|influence|arthropathy|DDF
37371676|expert_1|IL-17|chemical|influence|AI|DDF
37371676|expert_1|gut microbiota|microbiome|is linked to|AI-related musculoskeletal pathology|DDF
37371676|expert_1|gut microbiota|microbiome|is linked to|irritable bowel disease|DDF
37371676|expert_1|IL-6|chemical|influence|gut dysbiosis|DDF
37371676|expert_1|gut microbiota|microbiome|is linked to|systemic lupus erythematosus|DDF
37371676|expert_1|gut microbiota|microbiome|is linked to|rheumatoid arthritis|DDF
37371676|expert_1|TNF-a|chemical|influence|AI|DDF
37574818|expert_2|Lactobacillus plantarum CCFM8661|bacteria|influence|oleic acid-induced acne|DDF
37574818|expert_2|live L. plantarum CCFM8661|bacteria|interact|skin lipids|chemical
37574818|expert_2|Acne vulgaris|DDF|is a|inflammatory disease|DDF
37574818|expert_2|live L. plantarum CCFM8661|bacteria|interact|triglycerides|chemical
37574818|expert_2|live L. plantarum CCFM8661|bacteria|influence|skin inflammation|DDF
37574818|expert_2|live and inactivated L. plantarum CCFM8661|bacteria|interact|Staphylococcus|bacteria
37574818|expert_2|inactivated L. plantarum CCFM8661|bacteria|interact|skin triglycerides|chemical
37574818|expert_2|live and inactivated Lactobacillus plantarum CCFM8661|bacteria|influence|oleic acid-induced acne|DDF
37574818|expert_2|live L. plantarum CCFM8661|bacteria|change expression|skin lipid metabolism-related genes|gene
37574818|expert_2|gut microbial ecosystem|microbiome|is linked to|acne|DDF
37574818|expert_2|gut microbiota|microbiome|located in|acne mice|animal
37574818|expert_2|L. plantarum CCFM8661|bacteria|influence|skin inflammation|DDF
37574818|expert_2|inactivated L. plantarum CCFM8661|bacteria|change expression|skin lipid metabolism-related genes|gene
37574818|expert_2|live L. plantarum CCFM8661|bacteria|interact|non-esterified free fatty acids|chemical
37574818|expert_2|L. plantarum CCFM8661|bacteria|influence|acne|DDF
37574818|expert_2|inactivated L. plantarum CCFM8661|bacteria|change expression|ATGL|gene
37574818|expert_2|gut microbial ecosystem|microbiome|is linked to|skin inflammation|DDF
37574818|expert_2|skin inflammation|DDF|target|acne mice|animal
37574818|expert_2|live L. plantarum CCFM8661|bacteria|interact|testosterone|chemical
37574818|expert_2|gut microbiota|microbiome|is linked to|acne pathogenesis|DDF
37574818|expert_2|skin|anatomical location|located in|patients|human
37574818|expert_2|inactivated L. plantarum CCFM8661|bacteria|change expression|FASN|gene
37574818|expert_2|Staphylococcus|bacteria|part of|gut microbiota|microbiome
37574818|expert_2|live and inactivated L. plantarum CCFM8661|bacteria|part of|gut microbiota|microbiome
37574818|expert_2|skin triglycerides|chemical|located in|acne mice|animal
37574818|expert_2|inactivated L. plantarum CCFM8661|bacteria|change expression|PPAR-γ|gene
37574818|expert_2|inactivated L. plantarum CCFM8661|bacteria|change expression|SREBP-1c|gene
37574818|expert_2|live L. plantarum CCFM8661|bacteria|interact|insulin|chemical
37574818|expert_2|inactivated L. plantarum CCFM8661|bacteria|located in|acne mice|animal
37574818|expert_2|Acne vulgaris|DDF|target|patients|human
37574818|expert_2|live L. plantarum CCFM8661|bacteria|interact|serum hormone|chemical
37571393|expert_2|neuroinflammation|DDF|affect|neurodegeneration|DDF
37571393|expert_2|sulforaphane|dietary supplement|change expression|TREM2|gene
37571393|expert_2|dysregulation of microglia genes|DDF|affect|neurodegeneration|DDF
37571393|expert_2|age-associated brain diseases|DDF|affect|neurodegeneration|DDF
37571393|expert_2|phytochemicals|dietary supplement|change expression|NF-kb|gene
37571393|expert_2|neurodegeneration|DDF|affect|Alzheimer's and Parkinson's diseases|DDF
37571393|expert_2|withaferin A|dietary supplement|change expression|TREM2|gene
37571393|expert_2|phytochemicals|dietary supplement|change expression|SIRT1&6|gene
37571393|expert_2|phytochemicals|dietary supplement|change expression|TREM2|gene
37571393|expert_2|vascular system dysfunction|DDF|affect|neurodegeneration|DDF
37571393|expert_2|neurodegenerative, inflammatory, metabolic, and cardiovascular diseases|DDF|affect|age-associated diseases|DDF
37571393|expert_2|phytochemicals|dietary supplement|change expression|TNFA|gene
37571393|expert_2|curcumin|dietary supplement|change expression|C3|gene
37571393|expert_2|fucoidan|dietary supplement|change expression|TREM2|gene
37571393|expert_2|phytochemicals|dietary supplement|change expression|TGFB1&2|gene
37571393|expert_2|EGCG|dietary supplement|change expression|TREM2|gene
37571393|expert_2|phytochemicals|dietary supplement|influence|age-associated molecular dysfunctions|DDF
37571393|expert_2|galangin|dietary supplement|change expression|TREM2|gene
37571393|expert_2|nutrients|dietary supplement|influence|age-associated molecular dysfunctions|DDF
37571393|expert_2|silibinin|dietary supplement|change expression|TREM2|gene
37571393|expert_2|neurodegenerative diseases|DDF|target|humans|human
37571393|expert_2|phytochemicals|dietary supplement|change expression|HMGB1|gene
37571393|expert_2|astin C|dietary supplement|change expression|TREM2|gene
37571393|expert_2|resveratrol|dietary supplement|change expression|TREM2|gene
37571393|expert_2|senescence|DDF|affect|Alzheimer's and Parkinson's diseases|DDF
37571393|expert_2|phytochemicals|dietary supplement|change expression|STING|gene
37571393|expert_2|daucosterol|dietary supplement|change expression|TREM2|gene
37571393|expert_2|curcumin|dietary supplement|change expression|TREM2|gene
37571393|expert_2|loss of chromosome X inactivation|DDF|target|females|human
37571393|expert_2|cancer|DDF|is a|age-associated diseases|DDF
37571393|expert_2|phytochemicals|dietary supplement|change expression|C3aR1|gene
37571393|expert_2|phytic acid|dietary supplement|change expression|TREM2|gene
37571393|expert_2|loss of chromosome X inactivation|DDF|affect|neurodegeneration|DDF
37571393|expert_2|betulinic acid|dietary supplement|change expression|TREM2|gene
37571393|expert_2|phytochemicals|dietary supplement|influence|age-related brain diseases|DDF
37571393|expert_2|acacetin|dietary supplement|change expression|TREM2|gene
37571393|expert_2|telomere attrition|DDF|affect|neurodegeneration|DDF
37571393|expert_2|apigenin|dietary supplement|change expression|TREM2|gene
37571393|expert_2|Phytochemicals|dietary supplement|influence|Neurodegenerative Diseases|DDF
37571393|expert_2|neuronal stem cell degradation|DDF|affect|neurodegeneration|DDF
37571393|expert_2|phytochemicals|dietary supplement|change expression|C3|gene
37841274|expert_4|Herpesvirus|chemical|influence|gut dysbiosis|DDF
37841274|expert_4|herpesvirus|chemical|influence|PD|DDF
37841274|expert_4|herpesvirus|chemical|influence|apoptosis|DDF
37841274|expert_4|herpesvirus|chemical|influence|AD|DDF
37841274|expert_4|Herpesvirus|chemical|influence|inflammation|DDF
37841274|expert_4|herpesvirus|chemical|influence|gut dysbiosis|DDF
37841274|expert_4|melanin|chemical|located in|brain|anatomical location
37841274|expert_4|vitiligo|DDF|interact|melanin|chemical
37841274|expert_4|melanin|chemical|located in|arteries|anatomical location
37841274|expert_4|herpesvirus|chemical|influence|inflammation|DDF
37841274|expert_4|herpesvirus|chemical|influence|vitiligo|DDF
37841274|expert_4|melanin|chemical|located in|heart|anatomical location
37841274|expert_4|melanin|chemical|located in|ovaries|anatomical location
37841274|expert_4|melanomas|DDF|interact|melanin|chemical
37841274|expert_4|herpesvirus|chemical|influence|LBD|DDF
37485660|expert_4|Flavonoids from Seabuckthorn|dietary supplement|impact|gut microbiota|microbiome
37485660|expert_4|Seabuckthorn flavonoids|dietary supplement|influence|major depressive disorders|DDF
37485660|expert_4|Hippophae rhamnoides|dietary supplement|impact|gut microbiota|microbiome
37485660|expert_4|gut microbiota|microbiome|located in|mice|animal
37485660|expert_4|Flavonoids from Seabuckthorn|dietary supplement|influence|CUMS-induced depressive disorder|DDF
37485660|expert_4|Hippophae rhamnoides|dietary supplement|influence|CUMS-induced depressive disorder|DDF
37485660|expert_4|SBF|dietary supplement|influence|depressive behaviors|DDF
37485660|expert_4|SBF|dietary supplement|impact|gut microbiota|microbiome
34098340|expert_1|faecal microbiota|microbiome|used by|16S rRNA amplicon sequencing|biomedical technique
34098340|expert_1|prenatal faecal microbiota|microbiome|located in|mothers|animal
34098340|expert_1|prenatal faecal microbiota|microbiome|located in|children|animal
38350463|expert_4|neuroactive compounds|chemical|located in|colon|anatomical location
29352709|expert_7|gut microbiota|microbiome|is linked to|schizophrenia|DDF
29352709|expert_7|schizophrenia|DDF|target|patients|human
29352709|expert_7|schizophrenia patients|human|used by|16S rRNA sequencing|biomedical technique
29352709|expert_7|schizophrenia patients|human|used by|PICRUSt analysis|biomedical technique
29352709|expert_7|gut microbiota|microbiome|located in|healthy controls|human
29352709|expert_7|fecal microbiota|microbiome|located in|schizophrenia patients|human
29352709|expert_7|gut microbiome|microbiome|is linked to|schizophrenia|DDF
29352709|expert_7|healthy controls|human|used by|16S rRNA sequencing|biomedical technique
29352709|expert_7|fecal microbiota|microbiome|located in|healthy controls|human
29352709|expert_7|healthy controls|human|used by|PICRUSt analysis|biomedical technique
29352709|expert_7|gut microbiota|microbiome|located in|schizophrenia patients|human
33511258|expert_1|gut microbiomes|microbiome|located in|placebo group|human
33511258|expert_1|Bifidobacterium longum|bacteria|part of|fecal metagenomes|microbiome
33511258|expert_1|Bifidobacterium adolescentis|bacteria|part of|fecal metagenomes|microbiome
33511258|expert_1|Probiotic consumption|dietary supplement|influence|anxiety symptoms|DDF
33511258|expert_1|L|bacteria|influence|stress|DDF
33511258|expert_1|Probiotic consumption|dietary supplement|influence|human stress|DDF
33511258|expert_1|Fecalibacterium prausnitzii|bacteria|part of|fecal metagenomes|microbiome
33511258|expert_1|Roseburia faecis|bacteria|part of|fecal metagenomes|microbiome
33511258|expert_1|anxiety|DDF|target|stressed adults|human
33511258|expert_1|human intestinal microbiota|microbiome|is linked to|mental health problems|DDF
33511258|expert_1|probiotic strain|dietary supplement|influence|stress|DDF
33511258|expert_1|<i>plantarum</i> P-8|bacteria|influence|stress|DDF
33511258|expert_1|probiotic supplementation|dietary supplement|impact|Bifidobacterium adolescentis|bacteria
33511258|expert_1|<i>plantarum</i> P-8|bacteria|influence|anxiety|DDF
33511258|expert_1|probiotic supplementation|dietary supplement|impact|Bifidobacterium longum|bacteria
33511258|expert_1|human intestinal microbiota|microbiome|is linked to|Stress|DDF
33511258|expert_1|fecal metagenomes|microbiome|located in|probiotic group|human
33511258|expert_1|probiotic strain|dietary supplement|influence|anxiety|DDF
33511258|expert_1|probiotic supplementation|dietary supplement|impact|Fecalibacterium prausnitzii|bacteria
33511258|expert_1|Lactobacillus|bacteria|influence|anxiety|DDF
33511258|expert_1|human intestinal microbiota|microbiome|is linked to|depression|DDF
33511258|expert_1|human intestinal microbiota|microbiome|is linked to|anxiety|DDF
33511258|expert_1|probiotic supplementation|dietary supplement|impact|Fusicatenibacter saccharivorans|bacteria
33511258|expert_1|probiotic supplementation|dietary supplement|impact|Roseburia faecis|bacteria
33511258|expert_1|stress|DDF|target|stressed adults|human
33511258|expert_1|Lactobacillus|bacteria|influence|stress|DDF
33511258|expert_1|Fusicatenibacter saccharivorans|bacteria|part of|fecal metagenomes|microbiome
33422110|expert_7|altered gut microbiome|DDF|target|Parkinson's disease (PD) patients|human
33422110|expert_7|DSS|chemical|influence|gut inflammation|DDF
33422110|expert_7|gastric disturbances|DDF|target|PD patients|human
33422110|expert_7|DSS|chemical|impact|Bacteroidaceae and Porphyromonadaceae families|bacteria
33422110|expert_7|DSS|chemical|impact|Rikencellaceae|bacteria
33422110|expert_7|DSS|chemical|impact|S24-7|bacteria
33422110|expert_7|intestinal inflammation|DDF|target|Parkinson's disease (PD) patients|human
33422110|expert_7|VSL#3|dietary supplement|influence|LPS paraquat-induced weight loss|DDF
33422110|expert_7|gastric disturbances|DDF|target|Parkinson's disease (PD) patients|human
34985325|expert_2|gut microbiome|microbiome|is linked to|epilepsy|DDF
34985325|expert_2|human gut microbiome|microbiome|is linked to|neurological disorders|DDF
34985325|expert_2|prebiotics|dietary supplement|influence|neurological disorders|DDF
34985325|expert_2|gut microbiome|microbiome|is linked to|Parkinson's disease|DDF
34985325|expert_2|bacteria|bacteria|part of|human microbiome|microbiome
34985325|expert_2|gut microbiome|microbiome|is linked to|autism spectrum disorders|DDF
34985325|expert_2|postbiotics|dietary supplement|influence|neurological disorders|DDF
34985325|expert_2|synbiotics|dietary supplement|influence|neurological disorders|DDF
34985325|expert_2|Gut Microbiome|microbiome|is linked to|Human Neurological Disorders|DDF
34985325|expert_2|gut microbiome|microbiome|is linked to|schizophrenia|DDF
34985325|expert_2|human microbiome|microbiome|located in|human body|anatomical location
34985325|expert_2|gut microbiome|microbiome|is linked to|neurological conditions|DDF
34985325|expert_2|gut microbiome|microbiome|is linked to|multiple sclerosis|DDF
34985325|expert_2|imbalance in the gut microflora|DDF|affect|neurological disorders|DDF
34985325|expert_2|gut microbiome|microbiome|is linked to|stroke|DDF
34985325|expert_2|probiotics|dietary supplement|influence|neurological disorders|DDF
34985325|expert_2|dysbiosis|DDF|affect|neurological disorders|DDF
34985325|expert_2|gut microbiome|microbiome|is linked to|Alzheimer's disease|DDF
34985325|expert_2|gut microbiota|microbiome|is linked to|neurological disorders|DDF
36550591|expert_3|fecal microbiota|microbiome|located in|patients|human
36550591|expert_3|microbiota|microbiome|located in|rats|animal
36550591|expert_3|depressive disorder|DDF|target|patients|human
36550591|expert_3|gut microbiota|microbiome|is linked to|depressive disorder|DDF
36550591|expert_3|DD|DDF|target|patients|human
30459574|expert_6|probiotics|dietary supplement|influence|stress-related disorders|DDF
30459574|expert_6|Oral Probiotics|dietary supplement|influence|Chronic Mild Stress|DDF
30459574|expert_6|probiotics|dietary supplement|impact|Lactobacillus helveticus R0052|bacteria
30459574|expert_6|Probiotics|dietary supplement|influence|CMS-induced anxiety- and depressive-like behaviors|DDF
30459574|expert_6|probiotics|dietary supplement|impact|Bifidobacterium longum R0175|bacteria
30459574|expert_6|CMS|DDF|target|mice|animal
30459574|expert_6|gut microbiota|microbiome|is linked to|depression|DDF
30459574|expert_6|probiotics|dietary supplement|impact|Lactobacillus plantarum R1012|bacteria
30459574|expert_6|probiotics|dietary supplement|impact|Lactobacillus|bacteria
30459574|expert_6|CMS|DDF|affect|anxiety- and depressive-like behaviors|DDF
30459574|expert_6|Chronic Mild Stress|DDF|target|Mice|animal
38026003|expert_5|neurological conditions|DDF|affect|Dysbiosis|DDF
38026003|expert_5|intestinal microbiota|microbiome|located in|humans|human
38026003|expert_5|gut microbial community|microbiome|is linked to|Dysbiosis|DDF
38026003|expert_5|canine intestinal microbiota|microbiome|is linked to|food allergies|DDF
38026003|expert_5|gut microbiota|microbiome|located in|individuals|human
38026003|expert_5|gut microbiota|microbiome|is linked to|Dysbiosis|DDF
38026003|expert_5|inflammatory bowel disease|DDF|affect|Dysbiosis|DDF
38026003|expert_5|canine intestinal microbiota|microbiome|is linked to|inflammatory bowel disease|DDF
38026003|expert_5|obesity|DDF|affect|Dysbiosis|DDF
38026003|expert_5|canine intestinal microbiota|microbiome|is linked to|ulcerative histiocytic colitis|DDF
38026003|expert_5|canine intestinal microbiota|microbiome|is linked to|chronic enteropathy|DDF
38026003|expert_5|canine intestinal microbiota|microbiome|is linked to|gastrointestinal disorders|DDF
38026003|expert_5|intestinal microbiota|microbiome|located in|dogs|animal
33194817|expert_4|individuals|human|used by|multiomics study|biomedical technique
33194817|expert_4|healthy controls|human|used by|serum metabolomics profiling|biomedical technique
33194817|expert_4|IBS-D|DDF|target|individuals|human
33194817|expert_4|depression|DDF|target|individuals|human
33194817|expert_4|IBS-D|DDF|change abundance|Enterobacter cloacae|bacteria
33194817|expert_4|healthy controls|human|used by|multiomics study|biomedical technique
33194817|expert_4|healthy controls|human|used by|fecal metagenome-wide sequencing|biomedical technique
33194817|expert_4|comorbid patients|human|used by|serum metabolomics profiling|biomedical technique
33194817|expert_4|diarrhea-predominant IBS|DDF|affect|depression|DDF
33194817|expert_4|individuals|human|used by|serum metabolomics profiling|biomedical technique
33194817|expert_4|depression|DDF|change abundance|Escherichia coli|bacteria
33194817|expert_4|depression|DDF|affect|IBS-D|DDF
33194817|expert_4|IBS-D|DDF|change abundance|depression gut microbiota|microbiome
33194817|expert_4|comorbid patients|human|used by|fecal metagenome-wide sequencing|biomedical technique
33194817|expert_4|individuals|human|used by|fecal metagenome-wide sequencing|biomedical technique
33194817|expert_4|depression|DDF|change abundance|Enterobacter cloacae|bacteria
33194817|expert_4|Irritable bowel syndrome|DDF|affect|depression|DDF
33194817|expert_4|comorbid patients|human|used by|multiomics study|biomedical technique
33194817|expert_4|IBS-D|DDF|change abundance|Escherichia coli|bacteria
29022384|expert_2|maternal microbiota|microbiome|compared to|microbiota of infant gut and nose|microbiome
29022384|expert_2|Bifidobacteria|bacteria|located in|vaginally delivered, fully breastfed infants|human
29022384|expert_2|mother-infant pairs|human|used by|16S rRNA sequencing|biomedical technique
29022384|expert_2|maternal rectal microbiota|microbiome|compared to|infant stool microbiota|microbiome
29022384|expert_2|maternal vaginal microbiota|microbiome|compared to|microbiota of neonatal gut and nose|microbiome
29022384|expert_2|microbiota of infant gut and nose|microbiome|used by|16S rRNA sequencing|biomedical technique
29022384|expert_2|maternal vaginal microbiota|microbiome|compared to|infant faecal microbiota|microbiome
29022384|expert_2|maternal rectal microbiota|microbiome|compared to|infant microbiota|microbiome
29022384|expert_2|Bifidobacteria|bacteria|part of|gut microbiota|microbiome
29022384|expert_2|maternal vaginal microbes|bacteria|part of|infant stool microbiota|microbiome
29022384|expert_2|maternal microbiota|microbiome|used by|16S rRNA sequencing|biomedical technique
29022384|expert_2|mother-infant pairs|human|used by|qPCR|biomedical technique
29022384|expert_2|microbiota of infant gut and nose|microbiome|used by|qPCR|biomedical technique
29022384|expert_2|infant microbiota|microbiome|compared to|maternal microbiota|microbiome
29857583|expert_1|PD|DDF|change abundance|Prevotellaceae|bacteria
29857583|expert_1|colonic microbiome|microbiome|is linked to|NDs|DDF
29857583|expert_1|colonic microbiome|microbiome|is linked to|multiple sclerosis|DDF
29857583|expert_1|colonic microbiome|microbiome|is linked to|NMO|DDF
29857583|expert_1|PD|DDF|change abundance|Bifidobacterium|bacteria
29857583|expert_1|colonic microbiome|microbiome|is linked to|MS|DDF
29857583|expert_1|colonic microbiome|microbiome|is linked to|MSA|DDF
29857583|expert_1|colonic microbiome|microbiome|is linked to|Alzheimer's disease|DDF
29857583|expert_1|colonic microbiome|microbiome|is linked to|PD|DDF
29857583|expert_1|PD|DDF|change abundance|Verrucomicrobiaceae|bacteria
29857583|expert_1|colonic microbiome|microbiome|is linked to|amyotrophic lateral sclerosis|DDF
29857583|expert_1|colonic microbiome|microbiome|is linked to|multiple system atrophy|DDF
29857583|expert_1|PD|DDF|change abundance|Akkermansia|bacteria
29857583|expert_1|colonic microbiome|microbiome|is linked to|AD|DDF
29857583|expert_1|PD|DDF|change abundance|Coprococcus|bacteria
29857583|expert_1|PD|DDF|change abundance|Lactobacillus|bacteria
29857583|expert_1|PD|DDF|change abundance|Faecalibacterium|bacteria
29857583|expert_1|colonic microbiome|microbiome|is linked to|ALS|DDF
29857583|expert_1|colonic microbiome|microbiome|is linked to|neuromyelitis optica|DDF
29857583|expert_1|PD|DDF|change abundance|Blautia|bacteria
29857583|expert_1|PD|DDF|change abundance|Prevotella|bacteria
34758889|expert_4|gut microbiota dysbiosis|DDF|change abundance|Bacteroidetes|bacteria
34758889|expert_4|altered gut microbiota|microbiome|is linked to|cognitive impairment|DDF
34758889|expert_4|FD mice|animal|used by|hippocampal proteomic analysis|biomedical technique
34758889|expert_4|associated synaptic proteins|chemical|located in|FD mice|animal
34758889|expert_4|cognitive impairment|DDF|change abundance|altered gut microbiota|microbiome
34758889|expert_4|gut microbiota dysbiosis|DDF|change abundance|Proteobacteria|bacteria
34758889|expert_4|SV2C|chemical|located in|FD mice|animal
34758889|expert_4|GAP43|chemical|located in|FD mice|animal
34758889|expert_4|altered gut microbiota|microbiome|located in|SCFA receptor knockout mice|animal
34758889|expert_4|cognitive impairment|DDF|target|SCFA receptor knockout mice|animal
34758889|expert_4|SCFA|chemical|influence|cognitive impairment|DDF
34758889|expert_4|hippocampal synaptic ultrastructure|anatomical location|located in|FD mice|animal
34758889|expert_4|gut microbiota dysbiosis|DDF|target|FD mice|animal
34758889|expert_4|impaired cognition|DDF|target|FD mice|animal
34758889|expert_4|Cognitive impairment|DDF|affect|neurodegenerative diseases|DDF
37881577|expert_6|microbiota dysbiosis|DDF|target|RSDS mice|animal
37881577|expert_6|gut microbiota|microbiome|is linked to|proinflammatory gut milieu|DDF
37881577|expert_6|Traumatic stress|DDF|affect|dysregulation of gut barrier functions|DDF
37881577|expert_6|antimicrobial responses|DDF|target|RSDS mice|animal
37881577|expert_6|dysbiotic gut microbiota|microbiome|is linked to|PTSD|DDF
37881577|expert_6|transepithelial electrical resistance|DDF|target|RSDS mice|animal
37881577|expert_6|mucin homeostasis|DDF|target|RSDS mice|animal
37881577|expert_6|dysregulation of gut barrier functions|DDF|target|RSDS mice|animal
37881577|expert_6|mouse model|animal|used by|repeated social defeat stress|biomedical technique
37881577|expert_6|mouse model|animal|used by|RSDS|biomedical technique
36984505|expert_5|<i>Helicobacter pylori</i> infection|DDF|affect|BCT|DDF
36984505|expert_5|Helicobacter pylori|bacteria|influence|neurodegenerative diseases|DDF
36984505|expert_5|glaucoma|DDF|is a|neurodegenerative central nervous system disorders|DDF
36984505|expert_5|Parkinson's disease|DDF|is a|neurodegenerative central nervous system disorders|DDF
36984505|expert_5|non-commensal gut microbiome|microbiome|is linked to|neurodegenerative diseases|DDF
36984505|expert_5|<i>Helicobacter pylori</i> infection|DDF|target|world's population|human
36984505|expert_5|peptic ulcers|DDF|is a|substantiated local gastric pathologies|DDF
36984505|expert_5|multiple sclerosis|DDF|is a|neurodegenerative central nervous system disorders|DDF
36984505|expert_5|<i>Helicobacter pylori</i> infection|DDF|affect|neurodegeneration|DDF
36984505|expert_5|Helicobacter pylori|bacteria|part of|non-commensal gut microbiome|microbiome
36984505|expert_5|Helicobacter pylori|bacteria|influence|<i>Helicobacter pylori</i> infection|DDF
36984505|expert_5|hyperhomocysteinemia-related brain cortical thinning|DDF|affect|neurodegenerative central nervous system disorders|DDF
36984505|expert_5|<i>Helicobacter pylori</i> infection|DDF|affect|hyperhomocysteinemia-related brain cortical thinning|DDF
36984505|expert_5|probiotics|dietary supplement|influence|neurodegenerative diseases|DDF
36984505|expert_5|BCT|DDF|affect|neurodegenerative central nervous system disorders|DDF
36984505|expert_5|Helicobacter pylori|bacteria|influence|Alzheimer's disease|DDF
36984505|expert_5|ocular Alzheimer's disease|DDF|is a|glaucoma|DDF
36984505|expert_5|defensins|chemical|influence|neurodegenerative diseases|DDF
36984505|expert_5|<i>Helicobacter pylori</i> infection|DDF|affect|neurodegenerative disorders|DDF
